name,year,gender,state,count
Hannah,2000,F,AK,58
Madison,2000,F,AK,50
Emily,2000,F,AK,48
Sarah,2000,F,AK,39
Ashley,2000,F,AK,36
Anna,2000,F,AK,34
Elizabeth,2000,F,AK,32
Emma,2000,F,AK,32
Alyssa,2000,F,AK,31
Jessica,2000,F,AK,31
Abigail,2000,F,AK,28
Haley,2000,F,AK,27
Victoria,2000,F,AK,27
Grace,2000,F,AK,26
Sierra,2000,F,AK,26
Katherine,2000,F,AK,25
Kayla,2000,F,AK,25
Samantha,2000,F,AK,25
Taylor,2000,F,AK,25
Megan,2000,F,AK,24
Olivia,2000,F,AK,24
Sydney,2000,F,AK,24
Alexis,2000,F,AK,23
Amber,2000,F,AK,22
Lauren,2000,F,AK,22
Savannah,2000,F,AK,22
Gabrielle,2000,F,AK,21
Kaitlyn,2000,F,AK,20
Hailey,2000,F,AK,19
Rachel,2000,F,AK,19
Rebecca,2000,F,AK,19
Trinity,2000,F,AK,19
Brianna,2000,F,AK,18
Erin,2000,F,AK,18
Mary,2000,F,AK,18
Courtney,2000,F,AK,17
Faith,2000,F,AK,17
Jennifer,2000,F,AK,17
Julia,2000,F,AK,17
Nicole,2000,F,AK,17
Sophia,2000,F,AK,17
Alexandra,2000,F,AK,16
Amanda,2000,F,AK,16
Audrey,2000,F,AK,16
Danielle,2000,F,AK,15
Katie,2000,F,AK,15
Kaylee,2000,F,AK,15
Leah,2000,F,AK,15
Morgan,2000,F,AK,15
Allison,2000,F,AK,14
Bethany,2000,F,AK,14
Brittany,2000,F,AK,14
Jenna,2000,F,AK,14
Mackenzie,2000,F,AK,14
Brooke,2000,F,AK,13
Caitlin,2000,F,AK,13
Chloe,2000,F,AK,13
Christina,2000,F,AK,13
Laura,2000,F,AK,13
Madeline,2000,F,AK,13
Marissa,2000,F,AK,13
Cheyenne,2000,F,AK,12
Kylie,2000,F,AK,12
Shelby,2000,F,AK,12
Zoe,2000,F,AK,12
Andrea,2000,F,AK,11
Ariana,2000,F,AK,11
Aurora,2000,F,AK,11
Isabella,2000,F,AK,11
Jasmine,2000,F,AK,11
Katelyn,2000,F,AK,11
Kimberly,2000,F,AK,11
Maria,2000,F,AK,11
Melissa,2000,F,AK,11
Autumn,2000,F,AK,10
Jamie,2000,F,AK,10
Jordan,2000,F,AK,10
Makayla,2000,F,AK,10
Mikayla,2000,F,AK,10
Naomi,2000,F,AK,10
Natalie,2000,F,AK,10
Paige,2000,F,AK,10
Shannon,2000,F,AK,10
Skylar,2000,F,AK,10
Alexandria,2000,F,AK,9
Angel,2000,F,AK,9
Angela,2000,F,AK,9
Cassandra,2000,F,AK,9
Claire,2000,F,AK,9
Destiny,2000,F,AK,9
Hayley,2000,F,AK,9
Isabel,2000,F,AK,9
Josephine,2000,F,AK,9
Margaret,2000,F,AK,9
Michelle,2000,F,AK,9
Sara,2000,F,AK,9
Amy,2000,F,AK,8
Angelina,2000,F,AK,8
Caitlyn,2000,F,AK,8
Esther,2000,F,AK,8
Jade,2000,F,AK,8
Kristen,2000,F,AK,8
Lily,2000,F,AK,8
Mariah,2000,F,AK,8
Maya,2000,F,AK,8
Meghan,2000,F,AK,8
Miranda,2000,F,AK,8
Molly,2000,F,AK,8
Natasha,2000,F,AK,8
Tiana,2000,F,AK,8
Catherine,2000,F,AK,7
Erica,2000,F,AK,7
Heather,2000,F,AK,7
Jessie,2000,F,AK,7
Kathleen,2000,F,AK,7
Kathryn,2000,F,AK,7
Katrina,2000,F,AK,7
Kendra,2000,F,AK,7
Kianna,2000,F,AK,7
Malia,2000,F,AK,7
Mckenzie,2000,F,AK,7
Mia,2000,F,AK,7
Nina,2000,F,AK,7
Peyton,2000,F,AK,7
Sabrina,2000,F,AK,7
Selena,2000,F,AK,7
Bianca,2000,F,AK,6
Breanna,2000,F,AK,6
Camille,2000,F,AK,6
Daisy,2000,F,AK,6
Denali,2000,F,AK,6
Holly,2000,F,AK,6
Isabelle,2000,F,AK,6
Jillian,2000,F,AK,6
Jordyn,2000,F,AK,6
Katelynn,2000,F,AK,6
Kelly,2000,F,AK,6
Kendall,2000,F,AK,6
Kirsten,2000,F,AK,6
Lillian,2000,F,AK,6
Lydia,2000,F,AK,6
Monica,2000,F,AK,6
Nadia,2000,F,AK,6
Nikki,2000,F,AK,6
Patricia,2000,F,AK,6
Rebekah,2000,F,AK,6
Theresa,2000,F,AK,6
Tia,2000,F,AK,6
Adrianna,2000,F,AK,5
Alicia,2000,F,AK,5
Alison,2000,F,AK,5
Alissa,2000,F,AK,5
Ariel,2000,F,AK,5
Ashleigh,2000,F,AK,5
Ashlyn,2000,F,AK,5
Briana,2000,F,AK,5
Brittney,2000,F,AK,5
Chelsea,2000,F,AK,5
Ciara,2000,F,AK,5
Cora,2000,F,AK,5
Crystal,2000,F,AK,5
Deanna,2000,F,AK,5
Delaney,2000,F,AK,5
Eden,2000,F,AK,5
Ella,2000,F,AK,5
Erika,2000,F,AK,5
Hope,2000,F,AK,5
Jada,2000,F,AK,5
Jewel,2000,F,AK,5
Kaitlin,2000,F,AK,5
Karen,2000,F,AK,5
Kelsey,2000,F,AK,5
Kennedy,2000,F,AK,5
Kiara,2000,F,AK,5
Kristin,2000,F,AK,5
Kristina,2000,F,AK,5
Lisa,2000,F,AK,5
Lucy,2000,F,AK,5
Madelyn,2000,F,AK,5
Makenna,2000,F,AK,5
Melanie,2000,F,AK,5
Riley,2000,F,AK,5
